"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 126",16.3427294860015,0.035521122544725,97.4446060741503
"comp 127",15.4085530613674,0.0345650245517388,97.4791710987021
"comp 128",15.0418453945336,0.0344627140025241,97.5136338127046
"comp 129",14.2882456264945,0.0338383276011957,97.5474721403058
"comp 130",13.7851774917451,0.0329135130205484,97.5803856533263
"comp 131",13.3905360723619,0.0325193161676059,97.6129049694939
"comp 132",12.8866357496787,0.0320025452821089,97.644907514776
"comp 133",12.8189775793596,0.0313068152886215,97.6762143300647
"comp 134",12.6641437166005,0.0309269255161996,97.7071412555809
"comp 135",11.9906666889326,0.0306684796268679,97.7378097352077
"comp 136",10.8921544607679,0.0303166476784308,97.7681263828862
"comp 137",10.6429125341672,0.0296700311035249,97.7977964139897
"comp 138",10.568668352434,0.0292198536324511,97.8270162676221
"comp 139",10.308253194847,0.0288123226087277,97.8558285902309
"comp 140",9.82752581652777,0.0283847349730653,97.8842133252039
"comp 141",9.71555531697635,0.0282769525203605,97.9124902777243
"comp 142",9.55565700914534,0.0279138140863464,97.9404040918106
"comp 143",8.90316538987575,0.0276629866108907,97.9680670784215
"comp 144",8.67190628604209,0.0270959514546456,97.9951630298762
"comp 145",8.25305814909349,0.0268775949269125,98.0220406248031
"comp 146",7.99485849601265,0.0262611712331747,98.0483017960363
"comp 147",7.77240245713459,0.0258879634694361,98.0741897595057
"comp 148",7.32755052580914,0.0257186735036358,98.0999084330093
"comp 149",6.84131892659798,0.0253971763350118,98.1253056093443
"comp 150",6.75288220016403,0.0251251790862683,98.1504307884306
"comp 151",6.40886873292545,0.0249862719771728,98.1754170604078
"comp 152",6.1388591082076,0.0245646658290701,98.1999817262369
"comp 153",5.94557312717248,0.024192449560107,98.224174175797
"comp 154",5.30310402230828,0.0237795010645497,98.2479536768615
"comp 155",5.27446767023156,0.0233589107867501,98.2713125876483
"comp 156",4.96439394590504,0.0229490101665092,98.2942615978148
"comp 157",4.78225085135248,0.0226472919600563,98.3169088897748
"comp 158",4.23887716019251,0.0223682863972543,98.3392771761721
"comp 159",4.10971052080805,0.0222803156520032,98.3615574918241
"comp 160",3.95071695719729,0.0217963533189499,98.383353845143
"comp 161",3.78829516896644,0.0216028085621639,98.4049566537052
"comp 162",3.43656115162471,0.0213553926059188,98.4263120463111
"comp 163",3.28117338932869,0.0211430135896907,98.4474550599008
"comp 164",3.05202029934059,0.0207389182463289,98.4681939781471
"comp 165",2.84334617699087,0.0204683285611024,98.4886623067082
"comp 166",2.44532001173545,0.0203618136818938,98.5090241203901
"comp 167",2.35347884189721,0.0201726683569188,98.529196788747
"comp 168",2.1278148027804,0.0197603862619001,98.548957175009
"comp 169",1.75488283701177,0.0195167651772716,98.5684739401862
"comp 170",1.38381573348366,0.0191511685239145,98.5876251087101
"comp 171",1.23727981538123,0.0188777124635493,98.6065028211737
"comp 172",1.10543355680458,0.0187285950805685,98.6252314162543
"comp 173",0.589102008514154,0.0184669239184535,98.6436983401727
"comp 174",0.0129322435159294,0.0180347317422167,98.6617330719149
"comp 175",1.83846186969899e-24,0.0178315717762377,98.6795646436912
"comp 176",2.0910703931169e-25,0.0176955293176719,98.6972601730088
"comp 177",4.13501775745426e-26,0.0174185500173766,98.7146787230262
"comp 178",2.89212397651353e-26,0.0172644530792383,98.7319431761054
"comp 179",2.38493858526114e-26,0.0171035449726325,98.7490467210781
"comp 180",1.52368474976542e-26,0.0167419928507074,98.7657887139288
"comp 181",1.03707535791291e-26,0.0165720930232568,98.782360806952
"comp 182",6.16451445940075e-27,0.0160421163350915,98.7984029232871
"comp 183",4.92298652956142e-27,0.0159125448327051,98.8143154681198
"comp 184",3.21490762574644e-27,0.0157100360011088,98.830025504121
"comp 185",2.52411890335318e-27,0.0154791758864298,98.8455046800074
"comp 186",9.22034302052148e-28,0.0153816753293053,98.8608863553367
"comp 187",6.02200623526265e-28,0.0150616393410025,98.8759479946777
"comp 188",6.02200623526265e-28,0.0149971251153921,98.8909451197931
"comp 189",6.02200623526265e-28,0.0147634472868326,98.9057085670799
"comp 190",6.02200623526265e-28,0.014545496128727,98.9202540632086
"comp 191",6.02200623526265e-28,0.0144994693708674,98.9347535325795
"comp 192",6.02200623526265e-28,0.0143415348913496,98.9490950674709
"comp 193",6.02200623526265e-28,0.0142604573958643,98.9633555248667
"comp 194",6.02200623526265e-28,0.0140574734325204,98.9774129982992
"comp 195",6.02200623526265e-28,0.0136912317886691,98.9911042300879
"comp 196",6.02200623526265e-28,0.0135768807985024,99.0046811108864
"comp 197",6.02200623526265e-28,0.0132942403962857,99.0179753512827
"comp 198",6.02200623526265e-28,0.013228769448542,99.0312041207312
"comp 199",2.75221082392479e-28,0.0130689616595385,99.0442730823908
"comp 200",1.99608077227398e-28,0.0130037454218821,99.0572768278127
"comp 201",11237.8183501855,0.0126659406308596,99.0699427684435
"comp 202",0.0647157186220979,0.0126397887933785,99.0825825572369
"comp 203",0.0640281634990843,0.0125055006834149,99.0950880579203
"comp 204",0.0634744111723137,0.0123973459320925,99.1074854038524
"comp 205",0.06276609936256,0.01225900378175,99.1197444076342
"comp 206",0.0613576861030022,0.0119839230669926,99.1317283307012
"comp 207",0.0610965220546984,0.0119329144638083,99.143661245165
"comp 208",0.0601196578270539,0.0117421206693465,99.1554033658343
"comp 209",0.0598325344000792,0.0116860418750155,99.1670894077093
"comp 210",0.0592033344061518,0.0115631512512015,99.1786525589605
"comp 211",0.0581268604846791,0.0113529024384139,99.1900054613989
"comp 212",0.0574988503881241,0.0112302442164305,99.2012357056154
"comp 213",0.0566932226707247,0.0110728950528759,99.2123086006682
"comp 214",0.0558950131513178,0.0109169947561168,99.2232255954244
"comp 215",0.0549510339037815,0.0107326238093323,99.2339582192337
"comp 216",0.054439411078058,0.0106326974761832,99.2445909167099
"comp 217",0.0530917977924742,0.0103694917563426,99.2549604084662
"comp 218",0.0525553983319937,0.0102647262367175,99.2652251347029
"comp 219",0.0518713687304721,0.0101311267051703,99.2753562614081
"comp 220",0.0511269875397013,0.0099857397538479,99.285342001162
"comp 221",0.050484715652321,0.00986029602584395,99.2952022971878
"comp 222",0.0497028603098189,0.00970758990426149,99.3049098870921
"comp 223",0.0490366927838497,0.00957747905934564,99.3144873661514
"comp 224",0.0489756925811778,0.00956556495726129,99.3240529311087
"comp 225",0.0483084604647682,0.00943524618452503,99.3334881772932
"comp 226",0.0481510088108618,0.00940449390837145,99.3428926712016
"comp 227",0.047190173708535,0.00921683080244825,99.352109502004
"comp 228",0.0469472634833351,0.00916938739908889,99.3612788894031
"comp 229",0.0458294020799265,0.00895105509373565,99.3702299444968
"comp 230",0.0453490003434929,0.00885722662958845,99.3790871711264
"comp 231",0.0449988000391181,0.00878882813264024,99.3878759992591
"comp 232",0.044743870744468,0.0087390372547789,99.3966150365138
"comp 233",0.0437841605592972,0.00855159385923773,99.4051666303731
"comp 234",0.0435691105068077,0.00850959189586088,99.4136762222689
"comp 235",0.0429349263675145,0.00838572780615518,99.4220619500751
"comp 236",0.0419505455073385,0.00819346591940204,99.4302554159945
"comp 237",0.0414057544027473,0.00808706140678658,99.4383424774013
"comp 238",0.0409877423367283,0.00800541842514224,99.4463478958264
"comp 239",0.0407832892826908,0.00796548618802554,99.4543133820144
"comp 240",0.0406858041292638,0.00794644611899684,99.4622598281335
"comp 241",0.0397542222803885,0.00776449653913837,99.4700243246726
"comp 242",0.0390432648832724,0.00762563767251414,99.4776499623451
"comp 243",0.0380543059676004,0.00743248163429695,99.4850824439794
"comp 244",0.0376063450856616,0.00734498927454328,99.4924274332539
"comp 245",0.0371342476703554,0.00725278274811628,99.4996802160021
"comp 246",0.0369934218737425,0.00722527770971534,99.5069054937118
"comp 247",0.0364622956183359,0.00712154211295624,99.5140270358247
"comp 248",0.0359814135286845,0.00702761982982119,99.5210546556546
"comp 249",0.0357215775171561,0.00697687060881956,99.5280315262634
"comp 250",0.0356018535539321,0.00695348702225237,99.5349850132856
"comp 251",0.0349406145417002,0.00682433877767583,99.5418093520633
"comp 252",0.0342821443572222,0.00669573131976995,99.5485050833831
"comp 253",0.0341607048826147,0.00667201267238568,99.5551770960555
"comp 254",0.0337813763297396,0.00659792506440226,99.5617750211199
"comp 255",0.0335117130553385,0.00654525645612079,99.568320277576
"comp 256",0.0329360257472229,0.00643281752875447,99.5747530951047
"comp 257",0.0318630690811064,0.00622325567990358,99.5809763507846
"comp 258",0.0316449266238389,0.00618064973121853,99.5871570005159
"comp 259",0.031316748858791,0.00611655251148262,99.5932735530273
"comp 260",0.0308661621392568,0.00602854729282358,99.5993021003202
"comp 261",0.0304624151673495,0.00594969046237294,99.6052517907825
"comp 262",0.0303027041184763,0.00591849689813991,99.6111702876807
"comp 263",0.0296606528225472,0.00579309625440375,99.6169633839351
"comp 264",0.0292160690340436,0.00570626348321163,99.6226696474183
"comp 265",0.0287981035974091,0.00562462960886896,99.6282942770272
"comp 266",0.0285646089999318,0.00557902519529918,99.6338733022225
"comp 267",0.0281322988362658,0.00549458961645816,99.6393678918389
"comp 268",0.0280522468286588,0.00547895445872242,99.6448468462976
"comp 269",0.027624946842844,0.00539549743024296,99.6502423437279
"comp 270",0.0273464791478907,0.00534110920857241,99.6555834529365
"comp 271",0.0269318690429759,0.00526013067245623,99.6608435836089
"comp 272",0.0266901784575568,0.00521292547999156,99.6660565090889
"comp 273",0.0263046853186837,0.00513763385130541,99.6711941429402
"comp 274",0.0257293059220829,0.00502525506290681,99.6762193980031
"comp 275",0.0256750242772767,0.00501465317915561,99.6812340511823
